article_id;title;body;url;date;author;publisher;country;language;type;tags;expected_label;expected_score
0;I like you. I love you;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.989
1;You won't believe what this celebrity did on live TV!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.8
2;Shocking revelations about the secret life of your favorite actor!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.7
3;Unlock the hidden secrets to instant weight loss with this one weird trick!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.9
4;Is this the cure for aging? Scientists say yes!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.85
5;Top 10 unbelievable facts that will blow your mind!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.8
6;Exposed! The truth behind the viral conspiracy that the government doesn't want you to know!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.75
7;This simple hack will make you a millionaire in just 30 days!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.9
8;You're wasting money on groceries! Discover the ultimate money-saving tips now!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.8
9;Breaking news: Alien invasion imminent? Find out the shocking details here!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.7
10;Are we living in a simulated reality? Scientists reveal mind-blowing evidence!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.85
11;Unmasking the hidden dangers in your everyday household items!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.75
12;The secret to becoming irresistibly attractive – revealed by experts!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.9
13;Is your phone spying on you? Shocking truth uncovered!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.8
14;Why everyone is talking about this mysterious new diet trend!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.85
15;10 signs you're destined for success – number 7 will surprise you!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.8
16;Exposed! The hidden dangers lurking in your favorite fast food items!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.7
17;Don't buy another beauty product until you read this shocking report!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.9
18;Is your relationship in danger? Discover the warning signs now!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.8
19;The truth about the government's secret experiments – prepare to be shocked!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.75
20;This one trick will boost your IQ by 20 points – proven by science!;;;05.02.24;ChatGPT 3.5;;;english;;;Clickbait;0.9
21;Tips for maintaining a healthy work-life balance;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
22;Understanding the benefits of daily meditation for stress relief;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
23;Exploring the history and cultural significance of traditional Japanese tea ceremonies;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.8
24;The science behind the importance of regular exercise for overall well-being;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
25;How to cultivate a positive mindset and improve mental health;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
26;A beginner's guide to learning a new language effectively;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
27;The impact of climate change on wildlife conservation efforts;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.8
28;Understanding the principles of sustainable living and eco-friendly practices;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
29;Exploring the diverse world of classical literature and its enduring relevance;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
30;The benefits of adopting a rescue pet and supporting animal shelters;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.8
31;Tips for creating a productive and organized home office space;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
32;Understanding the basics of financial literacy for long-term success;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
33;Exploring the cultural richness of traditional folk music around the world;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.8
34;How to develop effective communication skills in both personal and professional settings;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
35;The importance of fostering creativity in children for their overall development;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
36;Tips for responsible and sustainable tourism to protect the environment;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.8
37;Understanding the principles of effective time management for increased productivity;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
38;Exploring the fascinating world of astronomy and the wonders of the universe;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
39;The health benefits of a balanced diet and mindful eating habits;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
40;Tips for maintaining strong and healthy relationships with friends and family;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
41;Unbelievable! You won't believe what this cat can do!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.8
42;Secret revealed: The one food you should never eat for a flat stomach!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.75
43;Is this the future of technology? Mind-blowing innovations you need to see!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.85
44;Shocking celebrity transformations – you won't recognize them!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.8
45;Discover the hidden powers of your mind with this ancient technique!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.9
46;10 signs you're smarter than you think – number 7 will amaze you!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.85
47;The ultimate life hack for unlimited energy – try it now!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.9
48;Exposed! The secret diet that has Hollywood stars in a frenzy!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.8
49;This simple trick will make your plants grow 10 times faster!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.85
50;Is your job making you age faster? Find out the shocking truth!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.75
51;Unveiling the mysterious power of crystals for healing and positivity;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.9
52;Are we living in a parallel universe? Scientists say yes!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.85
53;Top 5 mind-boggling mysteries that science can't explain!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.8
54;Exposed! The hidden dangers in your favorite skincare products!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.7
55;You won't believe what this 100-year-old woman eats every day!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.8
56;Is your phone listening to your conversations? Shocking truth uncovered!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.75
57;Unlock the secret to instant happiness with this simple trick!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.9
58;The truth about aliens – government insider reveals shocking information!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.7
59;This weird trick will make you a social media sensation overnight!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.85
60;Exposed! The real reason why your crush hasn't texted back!;;;05.02.24;ChatGPT 3.5;;;english;;;ClickBait;0.8
61;Practical tips for improving your time management skills;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
62;Exploring the beauty of classical art through the ages;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
63;Understanding the fundamentals of effective communication in the workplace;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
64;The benefits of a balanced diet for a healthier lifestyle;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
65;Tips for creating a cozy and inviting home atmosphere;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
66;The impact of mindfulness on stress reduction and mental well-being;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
67;Exploring the wonders of nature through responsible ecotourism;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
68;Cultivating a positive mindset for personal and professional success;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
69;The importance of lifelong learning for personal growth;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
70;Tips for building and maintaining strong relationships with loved ones;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
71;Understanding the significance of regular exercise for overall health;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
72;Exploring the cultural diversity of world music traditions;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
73;Practical ways to incorporate sustainable practices into your daily life;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
74;The benefits of adopting a pet from a local animal shelter;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
75;Tips for effective goal-setting and achieving long-term success;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
76;The impact of positive parenting on children's development;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
77;Exploring the world of astronomy: A beginner's guide;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
78;The joys of reading: Nurturing a love for literature in children;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
79;Practical steps for creating a productive home office environment;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.9
80;The art of effective decision-making in various aspects of life;;;05.02.24;ChatGPT 3.5;;;english;;;Normal;0.85
